event_id,order_id,machine_id,timestamp,units_inspected,units_defective,defect_rate,defect_type
QE-00352,ORD-1126,M08,2026-06-10 00:04:00,50,0,0.0,
QE-00353,ORD-1126,M08,2026-06-10 00:19:00,100,0,0.0,
QE-00354,ORD-1140,M03,2026-07-27 05:01:00,100,0,0.0,
QE-00355,ORD-1016,M06,2026-08-02 01:05:00,100,0,0.0,
QE-00356,ORD-1016,M06,2026-08-02 01:20:00,50,0,0.0,
QE-00357,ORD-1016,M06,2026-08-02 01:35:00,100,3,0.03,CONTAM
QE-00358,ORD-1137,M10,2026-08-05 08:10:00,100,0,0.0,
QE-00359,ORD-1137,M10,2026-08-05 08:25:00,100,0,0.0,
QE-00360,ORD-1149,M05,2026-07-31 07:07:00,50,2,0.04,CONTAM
QE-00361,ORD-1149,M05,2026-07-31 07:22:00,100,0,0.0,
QE-00362,ORD-1149,M05,2026-07-31 07:37:00,50,1,0.02,CONTAM
QE-00363,ORD-1066,M05,2026-08-19 00:13:00,100,0,0.0,
QE-00364,ORD-1066,M05,2026-08-19 00:28:00,100,0,0.0,
QE-00365,ORD-1096,M10,2026-06-18 07:04:00,50,0,0.0,
QE-00366,ORD-1096,M10,2026-06-18 07:19:00,50,0,0.0,
QE-00367,ORD-1096,M10,2026-06-18 07:34:00,50,0,0.0,
QE-00368,ORD-2008,M05,2026-08-07 09:03:00,100,2,0.02,CONTAM
QE-00369,ORD-2008,M05,2026-08-07 09:18:00,100,0,0.0,
QE-00370,ORD-2008,M05,2026-08-07 09:33:00,50,1,0.02,CONTAM
QE-00371,ORD-1056,M09,2026-08-07 04:06:00,100,0,0.0,
QE-00372,ORD-2025,M05,2026-07-27 06:07:00,100,1,0.01,CONTAM
QE-00373,ORD-1012,M03,2026-06-19 01:14:00,100,0,0.0,
QE-00374,ORD-2029,M01,2026-08-25 05:07:00,100,0,0.0,
QE-00375,ORD-2022,M09,2026-08-17 00:04:00,100,1,0.01,CRACK
QE-00376,ORD-2022,M09,2026-08-17 00:19:00,100,0,0.0,
QE-00377,ORD-1061,M03,2026-08-13 08:11:00,100,2,0.02,CRACK
QE-00378,ORD-1061,M03,2026-08-13 08:26:00,50,2,0.04,CONTAM
QE-00379,ORD-2044,M10,2026-07-05 10:00:00,50,0,0.0,
QE-00380,ORD-2044,M10,2026-07-05 10:15:00,50,0,0.0,
QE-00381,ORD-2044,M10,2026-07-05 10:30:00,100,0,0.0,
